ID,Smiles,pIC50
AX-71,COC1=C(OC(N(CC)C)=O)C=CC(CCC(N2CCC(C=C(OC)C(OC)=C3)=C3C2)=O)=C1,7.184953824
LZW-17,CCN(C(OC1=CC=CC(CN2CCCCC2)=C1)=O)C,7.180851057
850,COc1cc(/C=C2\Cc3ccc(N4CCCC4)cc3C2=O)ccc1O,7.167491087
LZW-11,FC(F)(OC1=CC=C(OC(N(C)C)=O)C=C1)F,7.164563105
39,OC1=CC=C(CCC(N2CCC(C3=CC=CC=C3)CC2)=O)C=C1OC,7.161150909
807,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,7.15864053
BP-19,O=C(NC1CCN(CC2=CC=CC=C2)CC1)C3=CC=C(OC(N4CCCC4)=O)C=C3,7.157952711
720,COc1ccc(C(=O)C(=O)c2ccc(OC)cc2)cc1,7.153662888
661,CCOC(=O)/C(=N\Nc1ccc(OC)cc1)C(=O)C(F)(F)F,7.151749285
771,O=C(c1cc(F)cc(F)c1)C(O)c1cc(F)cc(F)c1,7.148741651
784,O=C(O)c1ccc(C(=O)C(=O)c2ccccc2)cc1,7.145693958
845,O=C(C(=O)C1CCCCC1)C1CCCCC1,7.142667504
205,O=C(CC(C)C1=C(OC)C=C(O)C(Br)=C1)C2=CC=C(OC)C(C(C(C)=C)C)=C2,7.142667504
690,CCOC(=O)/C(=N\Nc1ccc(C)cc1)C(=O)C(F)(F)F,7.140801638
824,O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O,7.138465589
848,CCCCC(=O)C(=O)c1ccccc1,7.138465589
LZW-14,CC1=CC=C(OC(N2CCCC2)=O)C(OC)=C1,7.135310966
ZQ-8,CC1=CC=C(OC(N2CCOCC2)=O)C(OC)=C1,7.13076828
BM-8,OC1=C2C(OC(C3=CC=C(O)C=C3)CC2=O)=CC(OC(N(C4=CC=CC=C4)C5=CC=CC=C5)=O)=C1,7.124765054
801,CCCCCCC(=O)C(=O)CCCCCC,7.116906641
252,O=C(C(F)(F)F)C1=CC(Cl)=CC=C1,7.113509275
BP-5,COC1=CC(C(N2CCN(C3=CC=C(F)C=C3)CC2)=O)=CC(OC)=C1OC(N4CCOCC4)=O,7.111595832
3,O=C(OC1=CC=CC(F)=C1)N2CCOCC2,7.109746695
BM-5,OC1=C2C(OC(C3=CC=C(OCCCCN(CC)CC4=CC=CC=C4)C=C3)CC2=O)=CC(OCCCCN(CC)CC5=CC=CC=C5)=C1,7.107905397
73,O=C(NC1CCN(CC2=CC=CC=C2)CC1)/C=C/C3=CC(OC)=C(OC(N(C)C)=O)C=C3,7.101823517
BP-27,COC1=C(OCCCCN(CC2=CC=CC=C2)CC)C(OC)=CC(C(NC3CCN(CC4=CC=CC=C4)CC3)=O)=C1,7.087512239
111,O=C(CCCCCCCC)C(C=CC=C1O)=C1C2=CC3=CC(C)=CC=C3O2,7.075720714
751,O=C(C(=O)c1ccc2ccccc2c1)c1ccc2ccccc2c1,7.070581074
BP-3,COC1=CC(C(N2CCN(C3=CC=C(F)C=C3)CC2)=O)=CC(OC)=C1OC(N(C)C)=O,7.066310291
854,Cc1ccc(CC2C(=O)N(C3CCCCC3)N=C2c2ccc(C)cc2)cc1,7.045757491
BP-9,O=C(/C=C/C1=CC(OC)=C(OC(N2CCCC2)=O)C=C1)N3CCN(C4=CC=C(F)C=C4)CC3,7.040052784
BP-16,COC1=C(OC(N(C)CC)=O)C=CC(C(NCCCCCCN)=O)=C1,7.036495501
193,OC(C(Br)=C1)=CC(OC)=C1/C=C/C(C2=CC=C(O)C(CC=C)=C2)=O,7.008773924
253,O=C(C(F)(F)F)C1=C(Cl)C=CC=C1,7.008773924
567,CCCCCC[Se]CC(=O)C(F)(F)F,7
119,O=C(CCCCCCCC)C(C=CC=C1O)=C1C2=CC3=CC(OC)=CC=C3O2,7
261,O=C(CCCCCCCC)C1=C(C=C(C2=CC=CC=C2C(OC)=O)O3)C3=CC=C1,7
798,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,6.962573502
857,O=C1C=C(Oc2ccc(Br)cc2)c2ccccc2C1=O,6.958607315
271,O=C(CCCCCCCC)C1=C(C=C(C2=CC=C(C)C=C2C(O)=O)O3)C3=CC=C1,6.958607315
808,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,6.928117993
775,O=C(c1c(F)cccc1F)C(O)c1c(F)cccc1F,6.920818754
185,OC(C(C(C)C(C)=C)=C1)=CC=C1/C=C/C(C2=CC=C(N(C)C)C=C2)=O,6.920818754
116,O=C(CCC)C1=C(C=C(C2=C(C(CCCCCCCC)=O)C=CC=C2O)O3)C3=CC=C1,6.920818754
AX-31,O=C(N1CCCC1)N2CCC(CC3=CC=CC=C3)CC2,6.920818754
358,O=C1CCC2=CC(OC(N(C)C)=O)=CC=C21,6.919734373
BH-36,O=C1CCC2=CC(OC(N(C)C)=O)=CC=C21,6.919734373
355,CN(C(OC1=CC(C(F)(F)F)=CC=C1)=O)C,6.911863911
AX-26,CN(C)C(OC1=CC(C(F)(F)F)=CC=C1)=O,6.911863911
840,O=C1C=C(Oc2ccc(Cl)cc2)c2ccccc2C1=O,6.894830572
354,COC1=CC=CC(OC(N(C)CC)=O)=C1,6.89245087
370,O=C(NC1=CC=C(O)C=C1)C2=CC=CC=C2B3OC(C)(C)C(C)(C)O3,6.886056648
262,O=C(CCCCCCCC)C1=C(C=C(C2=CC=CC=C2C(O)=O)O3)C3=CC=C1,6.886056648
341,O=C1CCC2=CC(OC(N(C)C)=O)=CC=C2N1,6.882728704
AX-32,O=C1CCC2=CC(OC(N(C)C)=O)=CC=C2N1,6.882728704
785,COc1cccc(C(=O)C(=O)c2cccc(OC)c2)c1,6.8569852
842,CCCCC(=O)C(=O)CCCC,6.853871964
112,O=C(CCCCCCCC)C1=C(C=C(C2=CC=C(OC)C=C2O)O3)C3=CC=C1,6.853871964
804,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,6.850780887
BM-14,OC1=C2C(OC(C3=CC=C(OC(N(C4=CC=CC=C4)C5=CC=CC=C5)=O)C=C3)CC2=O)=CC(OC(N(C6=CC=CC=C6)C7=CC=CC=C7)=O)=C1,6.84375381
747,O=C(c1ccc(F)c(F)c1)C(O)c1ccc(F)c(F)c1,6.823908741
792,O=C(C(=O)c1ccc(F)c(F)c1)c1ccc(F)c(F)c1,6.823908741
837,O=C(C(=O)c1ccccn1)c1ccccn1,6.818156412
BM-7,O=C1C2=C(O)C=C(OC(N(C3=CC=CC=C3)C4=CC=CC=C4)=O)C=C2OC(C5=CC=C(OC(N(C6=CC=CC=C6)C7=CC=CC=C7)=O)C=C5)=C1,6.810509686
178,O=C(/C=C/C1=C(OC)C=C(OC)C(Br)=C1)C2=CC=C(O)C(C(C(C)=C)C)=C2,6.795880017
2,CCN(C(OC1=CC=CC(F)=C1)=O)C,6.781727146
811,O=C(C(=O)c1ccc(F)cc1)c1ccc(F)cc1,6.777283529
724,O=C1C(=O)c2cccc3cccc1c23,6.769551079
KYL-14,O=C1CCC2=C(C=CC=C2OC(N(CC)CC)=O)N1,6.761953897
